0            1            2            3            4            5            6            7            8            9            10           11           12           13           14           15           16           17           18           19           20           21           22           23           24           25           26           27           28           29           30           31           32           33           34           35           36           37           38           39           40           41           42           43           44           45           46           47           48           49           50           51           52           53           54           55           56           57           58           59           60           61           62           63           
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-993266      0            1402323      0            4102713      0            -3471583     0            4225626      0            2343902      0            -969790      0            -1447656     0            -3470977     0            89851        0            -106896      0            620179       0            -3385005     0            -4010838     0            1717842      0            -2335450     0            3897991      0            1679402      0            714019       0            654805       0            3171906      0            -919503      0            -837343      0            2449834      0            4897908      0            -4572        0            -5523250     0            2439481      0            -4664396     0            -1354098     0            4971039      0            -1520509     0            
0            -49          -98          -146         -195         -242         -290         -336         -382         -427         -471         -514         -555         -595         -634         -671         -707         -740         -773         -803         -831         -857         -881         -903         -923         -941         -956         -970         -980         -989         -995         -998         -1000        -998         -995         -989         -980         -970         -956         -941         -923         -903         -881         -857         -831         -803         -773         -740         -707         -671         -634         -595         -555         -514         -471         -427         -382         -336         -290         -242         -195         -146         -98          -49          
1426266      0            350648       0            -1209857     0            -1170304     0            -3291488     0            -1907353     0            1726874      0            2521611      0            2179317      0            470085       0            -871936      0            2107415      0            2002894      0            2122271      0            2269370      0            -2026434     0            -80908       0            1184420      0            -3967791     0            -1943006     0            -1437138     0            -697195      0            -811542      0            1103805      0            4829745      0            -3589549     0            -63032       0            2179019      0            -5267056     0            1933761      0            2666154      0            -2673530     0            
-1752066     0            -82747       0            5298974      0            -3923385     0            1244967      0            2887223      0            -405033      0            1781348      0            -1769317     0            -992749      0            -2021215     0            374660       0            -3652346     0            -2846127     0            311204       0            -2732910     0            2422656      0            2634751      0            -1789740     0            2347111      0            1387257      0            712679       0            -1300087     0            2162208      0            5275935      0            -2043219     0            -4380727     0            1495118      0            -2976270     0            -314803      0            4155744      0            -1476326     0            
-153529      0            448545       0            -1414904     0            -750870      0            -2840288     0            -3065447     0            686702       0            5123805      0            940024       0            -512166      0            2736853      0            1025791      0            -133678      0            4041672      0            3714846      0            -507325      0            -252427      0            -1476741     0            -5788944     0            -1522872     0            -2285447     0            -1094193     0            -260617      0            481497       0            1724995      0            -151482      0            -2899920     0            4175909      0            -3287842     0            2684417      0            1960657      0            -4181921     0            
-2510866     0            -1567817     0            6495235      0            -4375187     0            -1735692     0            3430544      0            159724       0            5010352      0            -67657       0            -2075349     0            -3935534     0            129141       0            -3919687     0            -1681416     0            -1095434     0            -3130370     0            947321       0            3590100      0            -4293499     0            4039417      0            -397392      0            2344861      0            -1762831     0            1874582      0            5653962      0            -4081866     0            -3238204     0            550755       0            -1288144     0            724492       0            3340449      0            -1432143     0            
3006061      0            252751       0            -1004810     0            -1589738     0            -3742688     0            -749259      0            2767046      0            -80583       0            3418610      0            1452336      0            -4480725     0            3189039      0            4139466      0            202870       0            823894       0            -3545543     0            90611        0            3845581      0            -2146638     0            -2363140     0            -588829      0            -300197      0            -1362467     0            1726113      0            7934495      0            -7027616     0            2773856      0            182129       0            -7246270     0            1183105      0            3371651      0            -1165139     0            
-993266      0            1402323      0            4102713      0            -3471583     0            4225626      0            2343902      0            -969790      0            -1447656     0            -3470977     0            89851        0            -106896      0            620179       0            -3385005     0            -4010838     0            1717842      0            -2335450     0            3897991      0            1679402      0            714019       0            654805       0            3171906      0            -919503      0            -837343      0            2449834      0            4897908      0            -4572        0            -5523250     0            2439481      0            -4664396     0            -1354098     0            4971039      0            -1520509     0            
